id,rev,name,lat,lng
245793,12740.9,"Yellow Rose Distilling Llc",29.788519,-95.455744
245814,0,"Toddy Distillery",29.801441,-95.731829
245833,0,"Bj Hooker's Distilleries, Llc",29.994909,-95.386831
246001,30986.87,"Copperfield Bowl",29.8824654,-95.6426286
246013,15916.87,"Lone Star Saloon",29.7507888,-95.3714548
246025,3152.99,"Pappas Bar-B-Q",29.7482711,-95.3685065
246037,471288.96,"Polk Smith Regency Inc",29.7570609,-95.3694708
246073,115251.94,"300 Houston",29.7801661,-95.5322621
246077,0,"Amf Clear Lake Bowl",29.557698,-95.11874
246101,17303.88,"Red Lobster Of Texas Inc 841",29.8474635,-95.5013565
246145,14860,"Robert's Lafitte",29.2895739,-94.7911752
246192,236217.91,"Corner Entertainment",29.7414717,-95.4214246
246229,67748.96,"Brae-Burn Country Club",29.675866,-95.521176
246284,49446.87,"Benihana Of Tokyo",29.7561725,-95.3697628
246307,75053.88,"Brady's Landing #21",29.7254202,-95.2754179
246311,70981.94,"Benihana Of Tokyo",29.7365359,-95.540203
246332,15417.91,"Merino's Lounge & La Playa Res",29.7344785,-95.2983556
246336,15214.93,"Red Lobster Restaurant #198",29.6645841,-95.1833606
246370,271320,"Palm Restaurant",29.7389967,-95.4905009
246441,12543.88,"Amf Windfern Bowl #397",29.86337,-95.535195
246445,40166.87,"Wish's Club & Restaurant",29.8697643,-95.5463127
246452,90197.91,"Ninos Restaurant & Bar Inc",29.7571789,-95.3953694
246460,1220,"Verona Restaurant Corp",29.7207523,-95.5389578
246472,4393.88,"Merida Restaurant",29.7582239,-95.3437146
246492,2116.87,"Clary's Restaurant",29.2834062,-94.8652801
246496,20987.91,"Chez Lounge",29.67394,-95.4311025
246500,292953.88,"Taste Of Texas",29.7828129,-95.5569162
246516,2560,"Corral Club",29.678505,-95.4086909
246544,16273.88,"Red Lobster Restaurant #840",30.0205293,-95.4333792
246575,21073.88,"El Jardin Restaurant",29.7305476,-95.28425
246611,92600.9,"La Colombe D'or",29.7416593,-95.3916064
246686,26987.91,Lechner's,29.7403865,-95.5375389
246702,49496.87,"Junior League Of Houston",29.7487637,-95.4505409
246741,16093.88,"Bj Sports Pub",29.675295,-95.541057
246753,16662.99,"Red Lobster Of Texas Inc #864",29.726345,-95.6448407
246824,21730.9,"Red Lobster Of Texas Inc 356",29.543491,-95.137223
246861,23255.97,"Art Of The Spirits Inc",29.7252762,-95.3887669
246868,0,Blanco's,29.738645,-95.4312728
246893,90105.97,"Club Onyx Houston",29.7325912,-95.4800565
246912,17065.97,"Gin Mill",29.6549173,-95.5686944
246932,128730,"Back Street Cafe",29.7552973,-95.4086418
246940,59260.9,"Carmelo's Italian Restaurant",29.7712428,-95.612523
246960,36831.94,"El Meson Spanish Mexican Resta",29.714812,-95.415996
246964,37826.87,"Pappas Seafood House & Oyster",29.7711745,-95.2257563
246976,620536.87,"Pappas Bros Steakhouse",29.7372735,-95.4817011
246980,106476.87,"Pappadeaux Seafood Kitchen",29.7367156,-95.4885416
247000,88872.99,"Lopez Mexican Restaurant",29.6534882,-95.5704426
247004,30640.9,"Double T's Bar & Grill",29.7018622,-95.6504472
247015,13701.94,"Mario's Italian Restaurant",29.304274,-94.773166
247043,108896.87,"Pappasito's Cantina",29.7311939,-95.5002998
247063,13884.93,"Pico's Restaurant",29.7052908,-95.486003
247075,85196.87,"Lupe Tortillas Mexican Restaur",29.782813,-95.643062
247131,138881.94,"Tony Mandola's",29.755876,-95.3984784
247139,23645.97,"Chili's Hamburger Grill & Bar",29.614237,-95.2127633
247171,35012.99,"Baba Yega",29.7462362,-95.390185
247210,83585.97,"Pappas Seafood House & Oyster",29.9296088,-95.4129379
247218,37250,"Molly's Pub",29.7368377,-95.573273
247226,24694.93,"Amf Willow Bowl #394",29.972388,-95.5609127
247274,5386.87,"Korea Garden Restaurant",29.7966912,-95.5258214
247294,42190,"Cavatore Italian Restaurant",29.8050732,-95.4287959
247302,22801.94,"Chili's Grill & Bar",29.7289519,-95.42903
247318,26895.97,"Chili's Grill & Bar",29.9151218,-95.6159982
247330,0,"Aramark Educational Services O",29.7238713,-95.3476228
247386,11487.91,"Fajita Willies Cafe & Cantina",29.8698015,-95.5463983
247420,43551.94,"Cedar Lounge",29.867494,-95.386312
247438,175420.9,"Pappasito's Cantina 2",29.9888266,-95.4231303
247442,63996.87,"Blythe Spirits",29.7535945,-95.388358
247492,33191.94,"Spaghetti Warehouse License In",29.764378,-95.3600699
247505,73900,"Tc's Bar",29.7478922,-95.3902903
247509,6210,"Casa Ole Restaurant (#28)",29.6178898,-95.2191485
247517,6732.99,Colonel,29.2723677,-94.8508843
247525,18028.96,"Nippon Restaurant",29.7326988,-95.3914014
247529,21420,"Goode Company Hamburger",29.7282884,-95.4190304
247541,79450,"Vincent's Italian Sandwich Bar",29.7572264,-95.3950101
247545,46300,"Zanzibar Houston",29.7368863,-95.5231653
247561,53467.91,"I-37 Inc",29.657427,-95.2564766
247581,36172.99,"Chili's Grill & Bar",29.739545,-95.462716
247585,57241.94,Playmates,29.6749394,-95.5421399
247624,121808.96,"Ron's Pub",29.748609,-95.4864737
247632,35168.96,"T K Bitterman's",29.7387933,-95.4086238
247695,25027.91,"Tymes Square",29.613704,-95.448117
247699,20052.99,"La Hacienda",29.7705412,-95.611425
247717,37663.88,"Molly Maguire's",30.009189,-95.466077
247729,97553.88,"Ciro's Italian Grill",29.7833444,-95.533797
247753,312910.9,Carrabba's,29.7367144,-95.418308
247769,97842.99,"Pappas Seafood House & Oyster",29.5365178,-95.1368874
247785,13197.91,"Grand 1894 Opera House",29.3055302,-94.7906498
247793,36070,"Miyako Ii",29.73223,-95.4193774
247805,33510,"The Olive Garden Italian Resta",29.786215,-95.5357307
247817,84701.94,"Goode Company Texas Seafood",29.728296,-95.420229
247837,21666.87,"Olive Garden Of Texas Inc #104",29.8162691,-95.4639984
247841,86001.94,"Richmond Arms",29.7318417,-95.4832741
247845,32522.99,Numbers,29.7447461,-95.3849427
247901,27050,"Fajita Flats",29.7340613,-95.5202083
247967,6442.99,"The Original El Gallo Mex Rest",29.9556352,-95.5850333
247987,144731.94,"Houston's Restaurant",29.7386099,-95.4840136
247995,10643.88,"Mencius Gourmet Hunan Restaura",30.0495921,-95.2342423
248003,27671.94,"Montrose Mining Co",29.746518,-95.3903464
248011,11471.94,"The Original El Gallo Mex Rest",29.8119536,-95.5448027
248023,26724.93,"The Olive Garden #74",29.6916472,-95.4149651
248027,9498.96,"Cafe Chino",29.7292489,-95.4313345
248042,88468.96,"Lizzard's Pub",29.7410321,-95.4225253
248054,192550,"Houston's Restaurant",29.7289319,-95.419048
248058,92882.99,Prego,29.7158751,-95.4169439
248074,858.96,"Cabana Beverage Inc",29.9018298,-95.5498509
248090,3730.9,"Taco Cabana",29.2707633,-94.8290929
248098,136637.91,"Jr's Bar & Grill / Houston",29.746934,-95.38996
248102,19196.87,"La Bare",29.732392,-95.492817
248134,2262.99,"Cabana Beverages, Inc.",29.7286889,-95.5210752
248138,2637.91,"Taco Cabana Beverages Inc",29.7318385,-95.4182577
248150,4148.96,"Cabana Beverages, Inc.",29.7362558,-95.5700446
248162,67222.99,"Mamacitas Mexican Restaurant &",29.914606,-95.61705
248166,19748.96,"Fugate Club Inc",29.6633111,-95.1732511
248182,200354.93,"Carrabba's Restaurant",29.7538351,-95.5005311
248186,47900.9,"South Beach",29.747055,-95.390578
248198,2920,"Taco Cabana",29.543838,-95.134567
248202,2371.94,Ovations,29.7166757,-95.4172082
248218,20701.94,"Fugate Club Inc",29.611954,-95.2349482
248225,0,"Chili's Grill And Bar",29.6731136,-95.4601331
248237,71653.88,"Molina's Mexican Restaurant",29.7367421,-95.5066121
248241,53287.91,"Warren's Inn",29.7623772,-95.3616572
248277,18793.88,"Bella Beverage Corporation",29.709903,-95.403276
