id,barId,date,paid,rev,id,taxId,name,address,city,state,zip,countyId,lat,lng
3505,285,"2014-06-00 00:00:00",1378.05,20567.91044776119,285,MB132720,"LECHNER'S                     ","2503 S GESSNER RD             ","HOUSTON             ",TX,77063,101,29.7403865,-95.5375389
3559,289,"2014-06-00 00:00:00",2442.21,36450.895522388055,289,MB133225,"JUNIOR LEAGUE OF HOUSTON      ","1811 BRIAR OAKS LN            ","HOUSTON             ",TX,77027,101,29.7487637,-95.4505409
3646,296,"2014-06-00 00:00:00",1036.82,15474.925373134327,296,MB134940,"LULING CITY MARKET BAR-B-QUE R","4726 RICHMOND AVE             ","HOUSTON             ",TX,77027,101,29.7329359,-95.4571478
3767,304,"2014-06-00 00:00:00",1390.98,20760.89552238806,304,MB137161,"RED LOBSTER OF TEXAS INC #864 ","2760 HIGHWAY 6 S              ","HOUSTON             ",TX,77082,101,29.726345,-95.6448407
4183,333,"2014-06-00 00:00:00",1682.3,25108.955223880595,333,MB146576,"ART OF THE SPIRITS INC        ","5600 FANNIN ST                ","HOUSTON             ",TX,77004,101,29.7252762,-95.3887669
4212,335,"2014-06-00 00:00:00",0,0,335,MB147098,"BLANCO'S                      ","3406 W ALABAMA ST             ","HOUSTON             ",TX,77027,101,29.738645,-95.4312728
4329,343,"2014-06-00 00:00:00",3709.05,55358.9552238806,343,MB149740,"TGI FRIDAY'S                  ","12895 GULF FREEWAY            ","HOUSTON             ",TX,77034,101,29.6149067,-95.2135301
4344,344,"2014-06-00 00:00:00",3228.66,48188.95522388059,344,MB149847,"CLUB ONYX HOUSTON             ","3113 BERING DR                ","HOUSTON             ",TX,77057,101,29.7325912,-95.4800565
4389,347,"2014-06-00 00:00:00",3272.95,48849.99999999999,347,MB150255,"LOLA'S DEPOT                  ","2327 GRANT ST                 ","HOUSTON             ",TX,77006,101,29.7483704,-95.3910045
4494,354,"2014-06-00 00:00:00",7233.38,107960.89552238806,354,MB151670,"BACK STREET CAFE              ","1103 S SHEPHERD DR            ","HOUSTON             ",TX,77019,101,29.7552973,-95.4086418
4524,356,"2014-06-00 00:00:00",1603.51,23932.985074626864,356,MB151952,"CARMELO'S ITALIAN RESTAURANT  ","14795 MEMORIAL DR             ","HOUSTON             ",TX,77079,101,29.7712428,-95.612523
4597,362,"2014-06-00 00:00:00",2234.78,33354.92537313433,362,MB152365,"EL MESON SPANISH MEXICAN RESTA","2425 UNIVERSITY BLVD          ","HOUSTON             ",TX,77005,101,29.714812,-95.415996
4612,363,"2014-06-00 00:00:00",4395.33,65601.94029850746,363,MB152548,"PAPPAS SEAFOOD HOUSE & OYSTER ","12010 EAST FWY                ","HOUSTON             ",TX,77029,101,29.7711745,-95.2257563
4657,366,"2014-06-00 00:00:00",25344.42,378274.92537313426,366,MB153105,"PAPPAS BROS STEAKHOUSE        ","5839 WESTHEIMER RD            ","HOUSTON             ",TX,77057,101,29.7372735,-95.4817011
4672,367,"2014-06-00 00:00:00",6270.53,93589.99999999999,367,MB153113,"PAPPADEAUX SEAFOOD KITCHEN    ","6015 WESTHEIMER RD            ","HOUSTON             ",TX,77057,101,29.7367156,-95.4885416
4746,372,"2014-06-00 00:00:00",5921.92,88386.86567164179,372,MB153755,"LOPEZ MEXICAN RESTAURANT      ","11606 WILCREST DR             ","HOUSTON             ",TX,77099,101,29.6534882,-95.5704426
4761,373,"2014-06-00 00:00:00",1966.78,29354.925373134327,373,MB154030,"DOUBLE T'S BAR & GRILL        ","14933 BELLAIRE BLVD           ","HOUSTON             ",TX,77083,101,29.7018622,-95.6504472
4910,383,"2014-06-00 00:00:00",4907.88,73251.94029850746,383,MB155132,"PAPPASITO'S CANTINA           ","6445 RICHMOND AVE             ","HOUSTON             ",TX,77057,101,29.7311939,-95.5002998
